image_path,label,split
/home/UNT/jtc0129/Desktop/continualLearning/processedData/E/E2017.jpg,E,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/P/P1625.jpg,P,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X237.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/N/N1687.jpg,N,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Q/Q1797.jpg,Q,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/R/R1308.jpg,R,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/V/V2341.jpg,V,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/A/A2193.jpg,A,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L2250.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L2497.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Q/Q1824.jpg,Q,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/R/R1344.jpg,R,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O1471.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/N/N804.jpg,N,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Y/Y1930.jpg,Y,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Y/Y1249.jpg,Y,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/I/I1508.jpg,I,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/C/C1989.jpg,C,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/U/U2171.jpg,U,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/K/K2219.jpg,K,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/I/I2225.jpg,I,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/S/S1557.jpg,S,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O1335.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/K/K282.jpg,K,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/C/C1094.jpg,C,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/N/N1574.jpg,N,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/W/W2451.jpg,W,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/B/B2482.jpg,B,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Y/Y789.jpg,Y,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L2568.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O2509.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/M/M541.jpg,M,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/E/E475.jpg,E,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/N/N2254.jpg,N,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/M/M1839.jpg,M,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/H/H1830.jpg,H,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/K/K2556.jpg,K,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Q/Q1472.jpg,Q,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/I/I2998.jpg,I,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O117.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L2309.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/B/B1789.jpg,B,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/E/E2409.jpg,E,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/V/V1219.jpg,V,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/I/I2300.jpg,I,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/M/M1789.jpg,M,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/C/C2611.jpg,C,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/A/A2093.jpg,A,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/R/R309.jpg,R,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/A/A2040.jpg,A,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/F/F2618.jpg,F,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X1661.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/G/G1688.jpg,G,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/B/B1516.jpg,B,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/U/U1945.jpg,U,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/T/T1943.jpg,T,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/T/T1678.jpg,T,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X1986.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L1288.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L631.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X1858.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X1980.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X1070.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O1737.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/G/G1857.jpg,G,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X2394.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/I/I1649.jpg,I,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/W/W2669.jpg,W,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O1156.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/P/P1080.jpg,P,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/G/G1993.jpg,G,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/O/O2464.jpg,O,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/D/D2076.jpg,D,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/T/T1160.jpg,T,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/I/I2099.jpg,I,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/P/P2490.jpg,P,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/L/L28.jpg,L,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/C/C2067.jpg,C,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Q/Q1866.jpg,Q,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/U/U2168.jpg,U,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/X/X1755.jpg,X,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/Y/Y1421.jpg,Y,train
/home/UNT/jtc0129/Desktop/continualLearning/processedData/P/P1612.jpg,P,train
